loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_auc_roc,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6866973876953125,1.6208139657974243,6.666666666666667e-06,0.18181818181818182,10,,,,,,,,,,,,,,
0.63677978515625,2.4545602798461914,1.4074074074074075e-05,0.36363636363636365,20,,,,,,,,,,,,,,
0.7028167724609375,4.43774938583374,1.9838709677419358e-05,0.5454545454545454,30,,,,,,,,,,,,,,
0.5969650268554687,4.033900737762451,1.903225806451613e-05,0.7272727272727273,40,,,,,,,,,,,,,,
0.46823863983154296,10.26272964477539,1.8225806451612903e-05,0.9090909090909091,50,,,,,,,,,,,,,,
,,,1.0,55,0.46431592106819153,0.8090909090909091,1.0,0.4878048780487805,0.6557377049180327,0.9869211735595617,0.9621,114.33,7.276,,,,,
0.20015201568603516,6.879574298858643,1.741935483870968e-05,1.0909090909090908,60,,,,,,,,,,,,,,
0.326779842376709,51.439369201660156,1.6612903225806454e-05,1.2727272727272727,70,,,,,,,,,,,,,,
0.216269588470459,3.172463893890381,1.5806451612903226e-05,1.4545454545454546,80,,,,,,,,,,,,,,
0.22211673259735107,11.166441917419434,1.5000000000000002e-05,1.6363636363636362,90,,,,,,,,,,,,,,
0.3445720911026001,0.2706436514854431,1.4193548387096776e-05,1.8181818181818183,100,,,,,,,,,,,,,,
0.005085945129394531,0.10163852572441101,1.3387096774193548e-05,2.0,110,,,,,,,,,,,,,,
,,,2.0,110,0.144904226064682,0.9636363636363636,1.0,0.9024390243902439,0.9487179487179487,0.9957582184517497,0.8664,126.962,8.079,,,,,
0.13530735969543456,0.12788519263267517,1.2580645161290324e-05,2.1818181818181817,120,,,,,,,,,,,,,,
0.05659886598587036,0.0489966943860054,1.1774193548387098e-05,2.3636363636363638,130,,,,,,,,,,,,,,
0.03325669169425964,inf,1.096774193548387e-05,2.5454545454545454,140,,,,,,,,,,,,,,
0.06418954133987427,0.02150897867977619,1.0161290322580646e-05,2.7272727272727275,150,,,,,,,,,,,,,,
0.13682564496994018,0.7141655087471008,9.35483870967742e-06,2.909090909090909,160,,,,,,,,,,,,,,
,,,3.0,165,0.18670505285263062,0.9727272727272728,1.0,0.926829268292683,0.9620253164556962,0.9939908094733121,0.8146,135.033,8.593,,,,,
0.0014990508556365968,0.039892345666885376,8.548387096774194e-06,3.090909090909091,170,,,,,,,,,,,,,,
0.08488364219665527,0.05095210671424866,7.741935483870968e-06,3.2727272727272725,180,,,,,,,,,,,,,,
0.025114193558692932,0.026430679485201836,6.935483870967743e-06,3.4545454545454546,190,,,,,,,,,,,,,,
0.0008911818265914917,0.0249905027449131,6.129032258064517e-06,3.6363636363636362,200,,,,,,,,,,,,,,
0.0008272379636764526,0.023667365312576294,5.322580645161291e-06,3.8181818181818183,210,,,,,,,,,,,,,,
0.0007554680109024048,0.020281990990042686,4.516129032258065e-06,4.0,220,,,,,,,,,,,,,,
,,,4.0,220,0.21624617278575897,0.9545454545454546,1.0,0.8780487804878049,0.935064935064935,0.9899257688229055,0.8305,132.451,8.429,,,,,
0.001173245906829834,0.01658780127763748,3.7096774193548392e-06,4.181818181818182,230,,,,,,,,,,,,,,
0.0006924927234649658,0.02068110927939415,2.903225806451613e-06,4.363636363636363,240,,,,,,,,,,,,,,
0.0007261395454406738,0.031007936224341393,2.096774193548387e-06,4.545454545454545,250,,,,,,,,,,,,,,
0.0006688147783279419,0.021044081076979637,1.2903225806451614e-06,4.7272727272727275,260,,,,,,,,,,,,,,
0.0006530970335006714,0.0336017906665802,4.838709677419355e-07,4.909090909090909,270,,,,,,,,,,,,,,
,,,5.0,275,0.17492148280143738,0.9727272727272728,1.0,0.926829268292683,0.9620253164556962,0.9925768822905621,0.9375,117.336,7.467,,,,,
,,,5.0,275,,,,,,,,,,182.9057,11.919,1.504,573582100684800.0,0.1832985665581443
