loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_auc_roc,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.71954345703125,7.576735496520996,6.666666666666667e-06,0.18181818181818182,10,,,,,,,,,,,,,,
0.58062744140625,6.106485366821289,1.4074074074074075e-05,0.36363636363636365,20,,,,,,,,,,,,,,
0.6404190063476562,11.425692558288574,1.9838709677419358e-05,0.5454545454545454,30,,,,,,,,,,,,,,
0.43280029296875,5.918966293334961,1.903225806451613e-05,0.7272727272727273,40,,,,,,,,,,,,,,
0.40757293701171876,7.200809478759766,1.8225806451612903e-05,0.9090909090909091,50,,,,,,,,,,,,,,
,,,1.0,55,0.39567697048187256,0.8272727272727273,0.9583333333333334,0.5609756097560976,0.7076923076923077,0.9508660303994345,0.4856,226.524,28.83,,,,,
0.2587568283081055,13.681432723999023,1.741935483870968e-05,1.0909090909090908,60,,,,,,,,,,,,,,
0.3371090888977051,1.3173359632492065,1.6612903225806454e-05,1.2727272727272727,70,,,,,,,,,,,,,,
0.38646240234375,29.17206382751465,1.5806451612903226e-05,1.4545454545454546,80,,,,,,,,,,,,,,
0.23629350662231446,0.38586241006851196,1.5000000000000002e-05,1.6363636363636362,90,,,,,,,,,,,,,,
0.3751791477203369,31.731061935424805,1.4193548387096776e-05,1.8181818181818183,100,,,,,,,,,,,,,,
0.09866099357604981,4.973719596862793,1.3387096774193548e-05,2.0,110,,,,,,,,,,,,,,
,,,2.0,110,0.15081028640270233,0.9181818181818182,0.8478260869565217,0.9512195121951219,0.896551724137931,0.9886885825379992,0.4851,226.767,28.861,,,,,
0.23894739151000977,13.453965187072754,1.2580645161290324e-05,2.1818181818181817,120,,,,,,,,,,,,,,
0.053613805770874025,10.719064712524414,1.1774193548387098e-05,2.3636363636363638,130,,,,,,,,,,,,,,
0.10189846754074097,0.9578416347503662,1.096774193548387e-05,2.5454545454545454,140,,,,,,,,,,,,,,
0.07670472264289856,0.3241384029388428,1.0161290322580646e-05,2.7272727272727275,150,,,,,,,,,,,,,,
0.08319321274757385,1.8270703554153442,9.35483870967742e-06,2.909090909090909,160,,,,,,,,,,,,,,
,,,3.0,165,0.11458627879619598,0.9454545454545454,0.926829268292683,0.926829268292683,0.926829268292683,0.9922234004948746,0.4837,227.424,28.945,,,,,
0.03740130662918091,0.6106404066085815,8.548387096774194e-06,3.090909090909091,170,,,,,,,,,,,,,,
0.04627604782581329,1.5097241401672363,7.741935483870968e-06,3.2727272727272725,180,,,,,,,,,,,,,,
0.016523456573486327,0.13236679136753082,6.935483870967743e-06,3.4545454545454546,190,,,,,,,,,,,,,,
0.011312562227249145,0.20016126334667206,6.129032258064517e-06,3.6363636363636362,200,,,,,,,,,,,,,,
0.04776768386363983,8.304300308227539,5.322580645161291e-06,3.8181818181818183,210,,,,,,,,,,,,,,
0.004981350898742676,0.031251195818185806,4.516129032258065e-06,4.0,220,,,,,,,,,,,,,,
,,,4.0,220,0.11405228078365326,0.9636363636363636,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9904559915164369,0.4929,223.16,28.402,,,,,
0.006794777512550354,0.08082016557455063,3.7096774193548392e-06,4.181818181818182,230,,,,,,,,,,,,,,
0.010062143206596375,1.4127074480056763,2.903225806451613e-06,4.363636363636363,240,,,,,,,,,,,,,,
0.02247057408094406,1.469655156135559,2.096774193548387e-06,4.545454545454545,250,,,,,,,,,,,,,,
0.0038215994834899904,1.189561128616333,1.2903225806451614e-06,4.7272727272727275,260,,,,,,,,,,,,,,
0.0046122133731842044,0.03784405440092087,4.838709677419355e-07,4.909090909090909,270,,,,,,,,,,,,,,
,,,5.0,275,0.11341896653175354,0.9636363636363636,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9922234004948746,0.4813,228.552,29.088,,,,,
,,,5.0,275,,,,,,,,,,40.0362,54.451,6.869,288778929070080.0,0.19059187330982902
