loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_auc_roc,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.678131103515625,2.4417991638183594,6.4285714285714295e-06,0.18181818181818182,10,,,,,,,,,,,,,,
0.6461181640625,3.2375574111938477,1.3571428571428574e-05,0.36363636363636365,20,,,,,,,,,,,,,,
0.6777435302734375,3.1666152477264404,1.9919028340080974e-05,0.5454545454545454,30,,,,,,,,,,,,,,
0.576898193359375,2.0463433265686035,1.910931174089069e-05,0.7272727272727273,40,,,,,,,,,,,,,,
0.4951141357421875,3.3854148387908936,1.8299595141700406e-05,0.9090909090909091,50,,,,,,,,,,,,,,
,,,1.0,55,0.49627408385276794,0.7454545454545455,1.0,0.3170731707317073,0.48148148148148145,0.9609402615765288,0.4221,260.629,16.585,,,,,
0.3433502197265625,3.030470132827759,1.7489878542510125e-05,1.0909090909090908,60,,,,,,,,,,,,,,
0.3626873016357422,1.9764413833618164,1.6680161943319838e-05,1.2727272727272727,70,,,,,,,,,,,,,,
0.26822624206542967,10.271471977233887,1.5870445344129557e-05,1.4545454545454546,80,,,,,,,,,,,,,,
0.2544198989868164,3.5096194744110107,1.5060728744939273e-05,1.6363636363636362,90,,,,,,,,,,,,,,
0.15997676849365233,1.4764517545700073,1.4251012145748989e-05,1.8181818181818183,100,,,,,,,,,,,,,,
0.09562492370605469,0.93224036693573,1.3441295546558706e-05,2.0,110,,,,,,,,,,,,,,
,,,2.0,110,0.21296826004981995,0.9272727272727272,1.0,0.8048780487804879,0.8918918918918919,1.0,0.4163,264.237,16.815,,,,,
0.09226655960083008,0.36159661412239075,1.263157894736842e-05,2.1818181818181817,120,,,,,,,,,,,,,,
0.05154352188110352,0.2692680358886719,1.182186234817814e-05,2.3636363636363638,130,,,,,,,,,,,,,,
0.04658069610595703,0.20244599878787994,1.1012145748987854e-05,2.5454545454545454,140,,,,,,,,,,,,,,
0.02154240608215332,0.15532779693603516,1.0202429149797572e-05,2.7272727272727275,150,,,,,,,,,,,,,,
0.13668298721313477,0.15385788679122925,9.392712550607288e-06,2.909090909090909,160,,,,,,,,,,,,,,
,,,3.0,165,0.1399126797914505,0.9727272727272728,1.0,0.926829268292683,0.9620253164556962,0.9915164369034996,0.4279,257.099,16.361,,,,,
0.02351078987121582,0.1494767665863037,8.582995951417005e-06,3.090909090909091,170,,,,,,,,,,,,,,
0.08797001838684082,0.15361937880516052,7.773279352226721e-06,3.2727272727272725,180,,,,,,,,,,,,,,
0.07105989456176758,0.12316761165857315,6.963562753036438e-06,3.4545454545454546,190,,,,,,,,,,,,,,
0.008453989028930664,0.8743471503257751,6.153846153846155e-06,3.6363636363636362,200,,,,,,,,,,,,,,
0.009070158004760742,0.15319104492664337,5.344129554655872e-06,3.8181818181818183,210,,,,,,,,,,,,,,
0.010030436515808105,0.10133296251296997,4.534412955465588e-06,4.0,220,,,,,,,,,,,,,,
,,,4.0,220,0.1064901351928711,0.9727272727272728,1.0,0.926829268292683,0.9620253164556962,0.9985860728172499,0.4267,257.787,16.405,,,,,
0.0313910961151123,0.09659527242183685,3.724696356275304e-06,4.181818181818182,230,,,,,,,,,,,,,,
0.05973293781280518,0.10530112683773041,2.9149797570850203e-06,4.363636363636363,240,,,,,,,,,,,,,,
0.006581449508666992,0.08845430612564087,2.105263157894737e-06,4.545454545454545,250,,,,,,,,,,,,,,
0.005587625503540039,0.1050264835357666,1.2955465587044536e-06,4.7272727272727275,260,,,,,,,,,,,,,,
0.005914211273193359,0.23267091810703278,4.858299595141701e-07,4.909090909090909,270,,,,,,,,,,,,,,
,,,5.0,275,0.12930883467197418,0.9727272727272728,1.0,0.926829268292683,0.9620253164556962,0.9957582184517497,0.4894,224.746,14.302,,,,,
,,,5.0,275,,,,,,,,,,66.5514,32.757,4.132,288778929070080.0,0.19145336584611372
